model,imbalance_method,hidden_layer_sizes,alpha,learning_rate_init,dev_accuracy,dev_precision,dev_recall,dev_f1_score,dev_roc_auc,dev_pr_auc_average_precision,dev_TN,dev_FP,dev_FN,dev_TP,rank_dev_pr_auc
MLP,none,"(32, 16)",0.001,0.001,0.9780260707635009,0.9047619047619048,0.8495934959349594,0.8763102725366876,0.977989779897799,0.9266814890775331,2417,22,37,209,30
MLP,random_oversampling,"(16,)",0.01,0.0005,0.9631284916201117,0.7378640776699029,0.926829268292683,0.8216216216216217,0.979773131064644,0.9262070209995865,2358,81,18,228,31
MLP,random_oversampling,"(16,)",0.0001,0.001,0.9620111731843576,0.7307692307692307,0.926829268292683,0.8172043010752689,0.980129801298013,0.9257158821694104,2355,84,18,228,32
MLP,random_oversampling,"(16,)",0.01,0.001,0.9623836126629423,0.7331189710610932,0.926829268292683,0.8186714542190305,0.9798864655313219,0.9256727548113691,2356,83,18,228,33
MLP,random_oversampling,"(16,)",0.001,0.0005,0.9631284916201117,0.7378640776699029,0.926829268292683,0.8216216216216217,0.979719797197972,0.9255281508577924,2358,81,18,228,34
MLP,random_oversampling,"(16,)",0.0001,0.0005,0.9631284916201117,0.7378640776699029,0.926829268292683,0.8216216216216217,0.9797064637313039,0.925445289537342,2358,81,18,228,35
MLP,random_oversampling,"(16,)",0.001,0.001,0.9646182495344506,0.7508305647840532,0.9186991869918699,0.8263254113345521,0.9798447984479844,0.9243589816825488,2364,75,20,226,36
MLP,random_oversampling,"(32,)",0.01,0.0005,0.9631284916201117,0.739413680781759,0.9227642276422764,0.8209764918625678,0.979723130564639,0.9242346509962037,2359,80,19,227,37
MLP,random_oversampling,"(32,)",0.0001,0.0005,0.9635009310986965,0.7466666666666667,0.9105691056910569,0.8205128205128205,0.9784914515811824,0.9232003432348802,2363,76,22,224,38
MLP,random_oversampling,"(8,)",0.001,0.001,0.9608938547486033,0.7266881028938906,0.9186991869918699,0.8114901256732495,0.9793447934479345,0.9227430484026266,2354,85,20,226,39
