model,dev_pr_auc_average_precision,dev_roc_auc,dev_f1_score,dev_recall,dev_precision,params,rank_dev_pr_auc
SMOTE SVM,0.8722380475392939,0.9735730690640241,0.857685009487666,0.9186991869918699,0.8042704626334519,"{'svm__C': 10, 'svm__gamma': 'scale'}",18
SMOTE SVM,0.8647932654163233,0.945746124127908,0.8206106870229007,0.8739837398373984,0.7733812949640287,"{'svm__C': 1000, 'svm__gamma': 0.1}",19
SMOTE SVM,0.8592303131835133,0.958749587495875,0.8311195445920304,0.8902439024390244,0.7793594306049823,"{'svm__C': 100, 'svm__gamma': 0.1}",20
SMOTE SVM,0.8505894680059404,0.9698430317636509,0.8074766355140187,0.8780487804878049,0.7474048442906575,"{'svm__C': 0.01, 'svm__gamma': 0.1}",21
SMOTE SVM,0.8494599030575813,0.9716063827304939,0.8582375478927203,0.9105691056910569,0.8115942028985508,"{'svm__C': 0.1, 'svm__gamma': 0.1}",22
SMOTE SVM,0.841033577296948,0.9697330306636399,0.857685009487666,0.9186991869918699,0.8042704626334519,"{'svm__C': 1, 'svm__gamma': 0.1}",23
SMOTE SVM,0.8336593293890361,0.964826314929816,0.8452830188679246,0.9105691056910569,0.7887323943661971,"{'svm__C': 10, 'svm__gamma': 0.1}",24
SMOTE SVM,0.8306545508615082,0.9652296522965229,0.7806563039723662,0.9186991869918699,0.6786786786786787,"{'svm__C': 0.1, 'svm__gamma': 1}",25
SMOTE SVM,0.8179162589928213,0.9622562892295589,0.8576923076923076,0.9065040650406504,0.8138686131386861,"{'svm__C': 1, 'svm__gamma': 1}",26
SMOTE SVM,0.8099568797071611,0.9587045870458705,0.5518925518925519,0.9186991869918699,0.3944153577661431,"{'svm__C': 0.01, 'svm__gamma': 1}",27
SMOTE SVM,0.7783024377500511,0.9610612772794396,0.8105065666041276,0.8780487804878049,0.7526132404181185,"{'svm__C': 10, 'svm__gamma': 1}",28
SMOTE SVM,0.7402092609730889,0.952256189228559,0.758220502901354,0.7967479674796748,0.7232472324723247,"{'svm__C': 100, 'svm__gamma': 1}",29
SMOTE SVM,0.6769415828375535,0.9427977613109464,0.7010309278350515,0.6910569105691057,0.7112970711297071,"{'svm__C': 1000, 'svm__gamma': 1}",30
