model,dev_pr_auc_average_precision,dev_roc_auc,dev_f1_score,dev_recall,dev_precision,params,rank_dev_pr_auc
Random Forest,0.9249043037406469,0.9724938916055826,0.8763102725366876,0.8495934959349594,0.9047619047619048,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",31
Random Forest,0.9248077018757667,0.9759830931642649,0.8757894736842106,0.8455284552845529,0.9082969432314411,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",32
Random Forest,0.9247813853810248,0.977406440731074,0.8621359223300971,0.9024390243902439,0.8252788104089219,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",33
Random Forest,0.9247580002728776,0.9746780801141345,0.8773388773388774,0.8577235772357723,0.8978723404255319,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",34
Random Forest,0.9247024367196846,0.9712413790804575,0.8742004264392325,0.8333333333333334,0.9192825112107623,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",35
Random Forest,0.9244977148211645,0.974089740897409,0.8755186721991701,0.8577235772357723,0.8940677966101694,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",36
Random Forest,0.9244699644829836,0.9773106064393977,0.8604651162790697,0.9024390243902439,0.8222222222222222,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",37
Random Forest,0.9243819000767274,0.9772422724227242,0.8588007736943907,0.9024390243902439,0.8191881918819188,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",38
Random Forest,0.9242688516263857,0.9722538892055587,0.8760683760683761,0.8333333333333334,0.9234234234234234,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",39
Random Forest,0.9240405694390136,0.9733205665389987,0.8755186721991701,0.8577235772357723,0.8940677966101694,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",40
Random Forest,0.9237517359075503,0.9726547265472654,0.8778467908902692,0.8617886178861789,0.8945147679324894,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",41
Random Forest,0.9235666297439582,0.9727963946306128,0.8755186721991701,0.8577235772357723,0.8940677966101694,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",42
Random Forest,0.9229587265353998,0.976506431730984,0.8532818532818532,0.8983739837398373,0.8125,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",43
Random Forest,0.9229382243404014,0.9767714343810104,0.8532818532818532,0.8983739837398373,0.8125,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",44
Random Forest,0.922879244488909,0.9707605409387428,0.8723404255319149,0.8333333333333334,0.9151785714285714,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",45
Random Forest,0.9224767653086593,0.9772631059643929,0.8604651162790697,0.9024390243902439,0.8222222222222222,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",46
Random Forest,0.922241281424107,0.9710405437387708,0.8784648187633263,0.8373983739837398,0.9237668161434978,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",47
Random Forest,0.9213813374011152,0.9721172211722119,0.8765957446808511,0.8373983739837398,0.9196428571428571,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",48
XGBoost,0.93281036397866,0.9821831551648849,0.8458646616541353,0.9146341463414634,0.7867132867132867,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",1
XGBoost,0.9316029057462414,0.9795839625062918,0.8436911487758946,0.9105691056910569,0.7859649122807018,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",2
XGBoost,0.9315026664736896,0.9820714873815406,0.847457627118644,0.9146341463414634,0.7894736842105263,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",3
XGBoost,0.9314501030219625,0.9815264819314861,0.8415094339622642,0.9065040650406504,0.7852112676056338,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",4
XGBoost,0.9314071159344571,0.9816214828814954,0.8490566037735849,0.9146341463414634,0.7922535211267606,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",5
XGBoost,0.9313523760207523,0.980196468631353,0.847457627118644,0.9146341463414634,0.7894736842105263,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",6
XGBoost,0.9309404062914957,0.9803214698813655,0.8426966292134831,0.9146341463414634,0.78125,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",7
XGBoost,0.9308776418899857,0.9818856521898552,0.849624060150376,0.9186991869918699,0.7902097902097902,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",8
XGBoost,0.9307801959322755,0.9805273052730528,0.8421052631578947,0.9105691056910569,0.7832167832167832,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",9
XGBoost,0.9302048297053158,0.9817481508148413,0.849624060150376,0.9186991869918699,0.7902097902097902,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",10
XGBoost,0.9301499121623115,0.9803281366146994,0.8411214953271028,0.9146341463414634,0.7785467128027682,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",11
XGBoost,0.9300141331140751,0.9803098030980311,0.8490566037735849,0.9146341463414634,0.7922535211267606,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",12
XGBoost,0.9294259131201893,0.9801664683313499,0.8411214953271028,0.9146341463414634,0.7785467128027682,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",13
XGBoost,0.9293550599678556,0.980953142864762,0.851145038167939,0.9065040650406504,0.802158273381295,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",14
XGBoost,0.9290862584290072,0.980173135064684,0.8421052631578947,0.9105691056910569,0.7832167832167832,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",15
XGBoost,0.9287640188377325,0.9809539762064288,0.8442776735459663,0.9146341463414634,0.7839721254355401,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",16
XGBoost,0.9284916582997557,0.980039800398004,0.8484848484848485,0.9105691056910569,0.7943262411347518,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",17
XGBoost,0.9284476826119086,0.9790656239895734,0.8458646616541353,0.9146341463414634,0.7867132867132867,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",18
XGBoost,0.9282056458573312,0.9787806211395448,0.8367729831144465,0.9065040650406504,0.7770034843205574,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",19
XGBoost,0.9280404980163398,0.9801148011480114,0.8405253283302064,0.9105691056910569,0.7804878048780488,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",20
XGBoost,0.9278901071051694,0.9796722967229673,0.8436911487758946,0.9105691056910569,0.7859649122807018,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",21
XGBoost,0.9277685204608535,0.979386460531272,0.8543689320388349,0.8943089430894309,0.8178438661710037,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",22
XGBoost,0.927542424527127,0.979059790597906,0.8649706457925636,0.8983739837398373,0.8339622641509434,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",23
XGBoost,0.9275388666909358,0.9798214648813155,0.8364312267657993,0.9146341463414634,0.7705479452054794,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",24
XGBoost,0.9272806838450846,0.9792581259145925,0.8457142857142858,0.9024390243902439,0.7956989247311828,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",25
XGBoost,0.9272446970688414,0.9796231295646289,0.8549323017408124,0.8983739837398373,0.8154981549815498,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",26
XGBoost,0.9272205627957014,0.9793081264145974,0.859375,0.8943089430894309,0.8270676691729323,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",27
XGBoost,0.9270021353729091,0.9788314549812165,0.8500948766603416,0.9105691056910569,0.797153024911032,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",28
XGBoost,0.9267051023943526,0.9791014576812433,0.8599221789883269,0.8983739837398373,0.8246268656716418,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",29
XGBoost,0.9264068848518638,0.9797847978479785,0.8565815324165029,0.8861788617886179,0.8288973384030418,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",30
XGBoost,0.9260752968868152,0.9777389440561072,0.8622047244094488,0.8902439024390244,0.8358778625954199,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",31
