model,accuracy,precision,recall,f1_score,roc_auc,pr_auc_average_precision,TN,FP,FN,TP
Random Forest,0.9798882681564246,0.9033613445378151,0.8739837398373984,0.8884297520661157,0.9777197771977719,0.9153780809546471,2416,23,31,215
XGBoost,0.9687150837988827,0.7892857142857143,0.8983739837398373,0.8403041825095057,0.977419774197742,0.9139197765625354,2380,59,25,221
